,text,lang,possibly_sensitive,tweet_id,created_at,type,clean_tweet
0,"Weakest MCU film this yr: Black Widow

Strongest so far: Shang-Chi

Eternals was entertaining.",en,False,1464468386054873094,2021-11-27T05:37:26.000Z,,"['yr', 'entertaining', 'eternals', 'mcu', 'shang', 'far', 'chi', 'black', 'film', 'strongest', 'widow', 'weakest']"
1,"@H0sie_rights @wandasolsen Yelena from the Black Widow film, Natasha's sorta but not actual little sister.",en,False,1464468200695943169,2021-11-27T05:36:42.000Z,replied_to,"['sister', 'right', 'natasha', 'sorta', 'actual', 'black', 'film', 'little', ""'s"", 'yelena', 'widow']"
2,"BLACK WIDOW 2004, ISSUE FOUR https://t.co/XQsgHKpZrv",en,False,1464468051449942019,2021-11-27T05:36:06.000Z,,"['issue', 'black', 'four', '2004', 'widow']"
3,"Hannah &gt;&gt;&gt;&gt;&gt; Black Widow
Can't believe this is the final season https://t.co/svT1R7M2sk",en,False,1464466928148389890,2021-11-27T05:31:38.000Z,quoted,"['&', 'hannah', 'believe', 'final', 'black', 'can', 'not', 'season', 'gt', 'widow']"
4,i miss her so much from black widow https://t.co/amLLMjoG9E,en,False,1464466763253358599,2021-11-27T05:30:59.000Z,quoted,"['miss', 'black', 'widow', 'much']"
5,@OSPyoutube Honestly Black Widow was done dirty by the MCU,en,False,1464466531652411395,2021-11-27T05:30:04.000Z,replied_to,"['done', 'mcu', 'honestly', 'black', 'dirty', 'widow']"
6,@suzyproms Black widow,en,False,1464466361506172928,2021-11-27T05:29:23.000Z,replied_to,"['black', 'widow']"
7,@Mutatio2 sorry black widow clears,en,False,1464466260654280706,2021-11-27T05:28:59.000Z,replied_to,"['clear', 'black', 'widow', 'sorry']"
8,"BLACK WIDOW 2001, ISSUE 1 https://t.co/qTL9Oc4J5v",en,False,1464466197500497925,2021-11-27T05:28:44.000Z,,"['issue', 'black', '1', '2001', 'widow']"
9,https://t.co/XETSaMVy5a,und,False,1464465657836228608,2021-11-27T05:26:35.000Z,,[]
10,"Marvel exists and superheroes are cool :) my favourite ones are Captain America (Rogers &amp; Wilson), Bucky Barnes, Captain Marvel, Thor, Groot, Spider-Man, Black Widow, Kate Bishop, Ant Man, Scarlet Witch :)",en,False,1464465494535069696,2021-11-27T05:25:57.000Z,replied_to,"['man', '&', 'groot', 'favourite', 'captain', 'scarlet', 'rogers', 'marvel', 'widow', '(', 'cool', 'wilson', ')', 'ant', 'superheroes', 'one', 'exists', 'kate', 'barnes', 'black', 'amp', 'thor', 'witch', 'spider', 'bucky', 'america', 'bishop']"
11,"have now seen black widow , shang chi, and eternals https://t.co/eZkY5zki5I",en,False,1464464972336017412,2021-11-27T05:23:52.000Z,,"['eternals', 'shang', 'chi', 'black', 'seen', 'widow']"
12,12. I had an absolutely ridiculous skill burst in September 2011. Went from being unable to pass the top 5 hardest WoR songs to a Black Widow of La Porte 5 stars and Modern Day Cowboy FC in a matter of 3 weeks,en,False,1464464476602880000,2021-11-27T05:21:54.000Z,replied_to,"['pas', '3', 'matter', 'widow', 'unable', '12', 'burst', 'la', 'week', 'day', 'september', 'modern', '2011', 'went', 'absolutely', 'skill', 'black', 'song', 'top', 'porte', '5', 'wor', 'ridiculous', 'fc', 'star', 'cowboy', 'hardest']"
13,"@DrewsClues @ComicBook let us put a little perspective on this:

1) Today, #DisneyPlus Latin America list featured ""Marvel Assembled - Eternals on Dec. 22""
2) 45 days after Eternals release is... December 20.
3) The Assembled specials release same day (Shang-Chi) or after (Black Widow &amp; all series) https://t.co/UErmRjlTuP",en,False,1464464130300129288,2021-11-27T05:20:31.000Z,replied_to,"['&', 'eternals', 'dec', '3', 'featured', '1', 'little', '22', 'marvel', 'widow', 'latin', 'special', 'perspective', '(', 'u', '45', 'release', ')', 'day', 'series', 'put', 'shang', 'list', 'today', 'black', 'assembled', 'amp', 'let', '2', 'chi', '20', 'america', 'december', 'day']"
14,Black widow undercover https://t.co/whrMGYCoAy,en,False,1464464040277594114,2021-11-27T05:20:10.000Z,quoted,"['undercover', 'black', 'widow']"
15,winter soldier &amp; black widow should’ve banged in each and every movie they were in together https://t.co/n6a1bcBBmv,en,False,1464464033738903561,2021-11-27T05:20:08.000Z,quoted,"['together', '&', 'banged', 'movie', 'black', 'every', 'soldier', 'winter', 'amp', 'widow']"
16,@IamLuklo Black Widow is above Eternals this whole thing is an L wym,en,False,1464463616514609154,2021-11-27T05:18:29.000Z,replied_to,"['eternals', 'wym', 'black', 'l', 'thing', 'widow', 'whole']"
17,the cgi in some parts of black widow is so.,en,False,1464462951646121985,2021-11-27T05:15:50.000Z,,"['black', 'widow', 'part', 'cgi']"
18,"@matthilferty @streamingguider In fairness, the fools have recently fucked up their schedule with movies on wednesdays. Becoming Cousteau, Black Widow, and a few others. it makes no sense. that part is believable. the fact that a brand new site has disney staff leaking to them iis not",en,False,1464462594488553472,2021-11-27T05:14:25.000Z,replied_to,"['movie', 'believable', 'part', 'recently', 'new', 'make', 'disney', 'widow', 'others', 'ii', 'staff', 'sense', 'leaking', 'schedule', 'cousteau', 'fool', 'wednesday', 'fact', 'fairness', 'fucked', 'brand', 'black', 'becoming', 'site']"
19,"@YorozuyaMahito Wanda vision, Loki, Hawkeye, black widow, eternals, Shang Chi, Falcon and the Winter Soldier.

Those are the only ones I can remember atm.",en,False,1464462337864257541,2021-11-27T05:13:24.000Z,replied_to,"['remember', 'eternals', 'vision', 'wanda', 'atm', 'one', 'shang', 'chi', 'black', 'hawkeye', 'soldier', 'loki', 'winter', 'falcon', 'widow']"
20,I enjoyed Wandavision in a different way than I enjoyed TFATWS in a different way than I enjoyed Loki in a different way than I enjoyed What If in a different way than I enjoyed Black Widow in a different way than I enjoyed Eternals in a different way than I enjoyed Shang Chi.,en,False,1464462283115929600,2021-11-27T05:13:11.000Z,replied_to,"['eternals', 'tfatws', 'wandavision', 'shang', 'chi', 'enjoyed', 'black', 'loki', 'different', 'widow', 'way']"
21,@IamLuklo I should clarify the only MCU movies i dont like are black widow and thor 2,en,False,1464462202065276930,2021-11-27T05:12:52.000Z,replied_to,"['thor', 'like', 'movie', 'mcu', '2', 'clarify', 'black', 'widow']"
22,"@maria_my4angels @anet2111 Like the black widow. Well, if you're gonna go, what better way ... 😵‍💫",en,False,1464461722392178689,2021-11-27T05:10:57.000Z,replied_to,"['like', 'well', 'black', 'go', 'my4angels', 'going', 'better', 'widow', 'way']"
23,"@cosmosgiving It sometimes feels like an MMO wrt how it gives quests to you. The story is a mixed bag you may vibe you may not. The game also had Vivienne(seen below) she has a sad widow story with some soggy white man who dies, you cant date her cuz the game dosen’t care about black people. https://t.co/6OmOcX3762",en,True,1464461343310991361,2021-11-27T05:09:27.000Z,replied_to,"['man', 'vibe', 'vivienne', 'may', 'can', 'give', 'cuz', 'date', 'widow', 'bag', 'soggy', 'mixed', '(', 'dy', ')', 'white', 'sad', ""n't"", 'also', 'story', 'care', 'dose', 'game', 'feel', 'seen', 'black', 'not', 'wrt', 'sometimes', 'like', 'people', 'quest', 'mmo', 'below']"
24,"@diefornils se llama florence pugh es actriz 
sale en mujercitas (la nueva versión), black widow y es la protagonista de dwd",es,False,1464461204420632578,2021-11-27T05:08:54.000Z,replied_to,"['en', 'de', 'llama', 'widow', 'actriz', 'se', 'nueva', '(', 'la', ')', 'mujercitas', 'e', 'version', 'black', 'protagonista', 'florence', 'sale', 'pugh', 'dwd']"
25,"@jtrebach We only have these ones here in South Africa, not the black widow. Pretty though. https://t.co/TZsYSop2jz",en,False,1464460910634967044,2021-11-27T05:07:44.000Z,replied_to,"['pretty', 'one', 'though', 'black', 'south', 'widow', 'africa']"
26,@aqs713 Watch Black Widow and then Shang Chi. Never a good idea to finish with the lesser film.,en,False,1464460832377647108,2021-11-27T05:07:25.000Z,replied_to,"['good', 'finish', 'idea', 'never', 'shang', 'chi', 'black', 'watch', 'film', 'lesser', 'widow']"
27,"@UmutoniPelindah 1.Old guard
2.Salt
https://t.co/ZGZL6ecCFX widow
4.proud Mary
5.Wonderwoman
I hope you are not a feminist",en,False,1464460710210162689,2021-11-27T05:06:56.000Z,replied_to,"['4', 'hope', 'feminist', 'guard', 'wonderwoman', '5', '2', 'proud', 'mary', '1', 'salt', 'old']"
28,@An_lvs_books @butterfly4dream si quieres ver hawkeye puedes ver antes black widow,es,False,1464460555259887624,2021-11-27T05:06:19.000Z,replied_to,"['quieres', 'ver', 'ante', 'lvs', 'hawkeye', 'puedes', 'black', 'si', 'widow', 'book']"
29,@jtrebach I survived a bite when I was 18. I have delivered 2 sons since then with zero pain meds and can tell you that the pain from the black widow bite was WORSE.,en,False,1464460321347846146,2021-11-27T05:05:23.000Z,replied_to,"['son', '18', 'zero', 'worse', 'survived', 'since', '2', 'bite', 'black', 'delivered', 'pain', 'med', 'tell', 'widow']"
30,finally getting around to watch black widow,en,False,1464460095752794120,2021-11-27T05:04:29.000Z,,"['getting', 'black', 'watch', 'around', 'finally', 'widow']"
31,"@ProfofEvil Like Starlord should absolutely have had a major arc in the film because he returned to Earth? He did the big important thing? But it's never brought up?

The film's Black Widow character stuff is just ""let's murder her"" and their Hawkeye falls flat.",en,False,1464460006774829063,2021-11-27T05:04:08.000Z,replied_to,"['up', 'starlord', 'major', 'murder', 'widow', 'u', 'big', 'character', 'film', 'hawkeye', 'stuff', '?', ""'s"", 'thing', 'important', 'returned', 'never', 'absolutely', 'brought', 'black', 'earth', 'like', 'let', 'fall', 'arc', 'flat']"
32,Should I watch Black Widow or Shang Chi tonight?,en,False,1464459754999324676,2021-11-27T05:03:08.000Z,,"['tonight', 'shang', 'chi', 'black', 'watch', '?', 'widow']"
33,"Coba thanos jujur sama Avengers tentang ""Dajjal"" ironman gak perlu mati, black widow juga bahkan thanos sendiri, dan akhirnya mereka bisa hidup bahagia selamanya...TAMAT",in,False,1464459630524862468,2021-11-27T05:02:38.000Z,replied_to,"['mereka', 'widow', 'dajjal', 'selamanya', 'hidup', 'jujur', 'ironman', 'dan', 'coba', 'bahagia', 'gak', 'akhirnya', 'mati', 'black', 'avenger', 'sendiri', 'bahkan', 'thanos', 'bisa', 'perlu', 'juga', 'tamat', 'sama', 'tentang']"
34,@FwSia The movie was ok at least it wasn’t as mid as the black widow movie,en,False,1464459123148431363,2021-11-27T05:00:37.000Z,replied_to,"['mid', 'movie', 'least', 'black', 'widow', 'ok']"
35,"Meu deus
Black mamba é uma cópia de Black Widow kkkkkkkkk
E é melhor",pt,False,1464459014889213953,2021-11-27T05:00:12.000Z,,"['meu', 'de', 'deus', 'uma', 'kkkkkkkkk', 'e', 'black', 'melhor', 'copia', 'mamba', 'widow']"
36,"@SpoonPriv Admit it, you're secretly the Black Widow. 🕸️",en,False,1464458794176593924,2021-11-27T04:59:19.000Z,replied_to,"['admit', 'black', 'widow', 'secretly']"
37,"7. Kapten Herman. Barangkali Kapten Herman adalah manusia non-hero yang mampu setingkat dengan para adiwira layaknya Black Widow. Ciptaan Jan Mintaraga 1967.

Dan rupanya masih satu circle sama Gundala and the gang. Wkwkw. Kapten Herman akan muncul kembali pada komik Bhayangkara. https://t.co/pBMMgQOC2R",in,False,1464458762740244487,2021-11-27T04:59:12.000Z,replied_to,"['komik', 'manusia', 'para', 'mintaraga', 'gundala', 'yang', 'jan', 'adalah', 'widow', '7', 'dengan', 'satu', 'pada', 'bhayangkara', 'adiwira', 'rupanya', 'masih', 'circle', 'layaknya', 'dan', 'kapten', 'wkwkw', 'akan', 'barangkali', 'black', 'herman', 'ciptaan', 'mampu', 'hero', 'non', 'kembali', 'setingkat', 'sama', 'muncul', 'gang', '1967']"
38,"@RBenGonzalez Bro, have you watched Black Widow yet?",en,False,1464458434087161856,2021-11-27T04:57:53.000Z,replied_to,"['black', 'watched', 'bro', '?', 'yet', 'widow']"
39,@ByClaytonDavis Black Widow would be fucking hilarious and I would’ve never in a billion years even considered it if I didn’t see it at #20 😅,en,False,1464458336745795585,2021-11-27T04:57:30.000Z,replied_to,"['considered', 'even', 'never', 'see', 'hilarious', 'fucking', 'black', 'year', 'would', 'billion', 'widow']"
40,@AngryRhino1111 LOL! Probably like a praying mantis or black widow spider she gnaws your head off…I’ll stop there!!,en,False,1464457926400090117,2021-11-27T04:55:52.000Z,replied_to,"['praying', 'like', 'mantis', '!', 'lol', 'gnaws', 'there', 'spider', 'probably', 'black', 'head', 'stop', 'widow', 'I']"
