username,user_id,name,location
Sobral64,1058393282282221569,Dé Sobral,"Rio de Janeiro, Brasil"
penoakeo,133972206,Kyle Deemer,
beck8214,2505714085,bricks,
LostGoldPirate,1349870134320574466,Potential Terrorist Threat,
Chillo80989888,1353598626849816576,Chillo,
berry_girl13,1215327901018738688,BerryGirl,
revsandy01,3150434750,Sandy Ferguson he/him,"Edmonton, Alberta"
ironlung64,1016727494,Kevin,"Austin Texas, USA"
McKaylaRoseJ,1128475843557249027,McKayla J,"Dallas, TX"
SFist,14093707,SFist,San Francisco
terrie4520,62596868,Terri M,Tampa
only_olny,935561906433220608,Only_Olny🇩🇪🇮🇱,Ruhrpott
HagamosJalisco,1223687502420217857,Hagamos Jalisco,
michaylajeannel,122206894,Michayla Riley,
brinnlee3,1332499790089871360,brinn lee,
JuniorD72916855,1079391273897914370,Today News Press,
Peninsula360P,1284749755193540608,Peninsula 360 Press,"Redwood City, CA"
ruifmateus,410655665,rui mateus,
_PaulHamilton,3136905549,Paul Hamilton,"Glasgow, Scotland"
Oh__Cleveland,969943029112025089,Stef Fanski,CLE/CHI/Parts Unknown
kikojoness28,1425176539264598018,Kiko Jones 🇧🇷👌,"Goiânia, Brasil"
Guess293,732583388339679236,Stanislav,"Praga, República Checa"
Wouterdejong95,543658996,Wouter de Jong,"Alblasserdam, Nederland"
woodydianne,2450675527,Dianne Wood,Waterloo
franceinfo,38395124,franceinfo,"Paris, France"
struminmypain,337050128,John,
kacacko,1140704589961990146,cacaco,
Tian_A1,4838520568,Tian_A1,Everywhere
sqrt115,1319384272193638407,sqrt(-1),
Stephane1899OM,2776434872,Steph 🇫🇮,Україна 🇺🇦
ArthurP41275988,1236088241436200961,ArthurPendragon,
reuben81691,1393542794,Reuben Hernandez,"Canoga Park, Los Angeles"
Protestlockdown,1378817108688179215,Against restrictions including vaccine passports,
GFACCORD,856214647,GF-ACCORD | A.I. era Global Business Consulting,"Geneva, Switzerland"
lajminet,1465060494,lajmi.net,"Prishtinë, Kosovë"
MadamaL41898457,1320392406135721987,Madama L.,
ShinMegamiRosen,1065268391655759872,Shin Megami Rosen #BLM,
PauloFreireufpe,1064615474732982272,Rádio Paulo Freire,"Recife, Brasil"
njoyflyfishing,3219670842,Nathan Joyner,"Los Angeles, CA"
robydemicheli,1243138280578789378,Robydemicheli,
Riomdominique1,1373248310677532673,Riom dominique,
wrongwaybill,1176599678730887168,who should remain nameless,
Xvhakehihkooiwn,717361904067481600,Simons,
WebLumiere,1371834743315124235,Lumières du Monde, 
DavidAt68935624,1157240831167873056,David Atta,
nateallamby,1441118487456321536,nateallamby,"Richmond, Ri"
DEShellenberger,119102120,David Shellenberger,"Bethel, CT USA"
redelajeado,1289217093133651968,Rede Lajeado - RLI Tecnologia,Vale do Taquari - RS - Brasil
MickShallies,1449480328586821634,Mick Shallies,
TestRun71,1445023830947270674,Test,
lavozdelnorteNi,164513876,LA VOZ DEL NORTE,Nicaragua
xToniBx,968790265044652032,Toni 🦋💗 We Saved Manifest ✈️,
PauloFreireufpe,1064615474732982272,Rádio Paulo Freire,"Recife, Brasil"
sarang143u,773485929969414148,Sarang Pokhare,"Hyderabad, India"
joaohborges,2280581924,joãohborges,
SkyFlyLou,263576386,MrMeSpeaks,"London, England"
press24newslive,889497412548612096,Press 24 News,"Press24 News,Gomti Nagar,LKO"
ChrisKo1974,900813314053341187,ckOne - (gleicher GETTR-Name),
Luki_Zachpom,1955996430,Łukasz_Pomorze_Zachodnie,Polska
CGCHINA_CPT,1234418984298188805,Lin Jing 林静,
romait_it,2279183222,RomaIT,Roma
MissRobin61,1396889654880768011,Robbelah,"Anchorage, AK"
AlaskaMaeve,933725994,Sagittarius A*,"Corchaug Lands, East End"
QudachIndia,854272141742579712,Qudach India,India
SethimusTwitius,400893130,Thrasymachos itan apateonas,
